hundreds,23
wooden,23
sending,23
grinned,23
pigwidgeon,23
irish,23
waved,23
eat,23
campsite,23
stunned,22
upstairs,22
throat,22
laughter,22
hurry,22
tree,22
wing,22
suppose,22
fight,22
shrieked,22
nearby,22
crossed,22
glanced,22
roberts,22
they'd,22
ones,22
surprised,22
join,22
handed,22
using,22
touch,22
powerful,22
pushed,22
ill,22
particularly,22
nervously,22
hogsmeade,22
changed,22
omnioculars,22
fun,22
excited,22
laughed,22
voices,22
hardly,22
carefully,22
barely,22
pink,22
blood,22
hang,22
story,21
highly,21
sit,21
merpeople,21
draco,21
deal,21
age,21
finger,21
terrified,21
approached,21
dance,21
attacked,21
gazing,21
may,21
chest,21
somewhere,21
control,21
drive,21
afternoon,21
luck,21
repeated,21
properly,21
showed,21
present,21
putting,21
shouting,21
judges,21
dunno,21
win,21
plan,21
minister,21
spotted,21
impatiently,21
hoping,21
term,21
purple,21
w,21
flat,20
fireplace,20
truth,20
o'clock,20
tables,20
nasty,20
tongue,20
quick,20
remembered,20
lee,20
hastily,20
size,20
excitement,20
furious,20
conjured,20
squeaked,20
alive,20
nervous,20
actually,20
marks,20
tied,20
busy,20
basin,20
lady,20
halfway,20
scarlet,20
somebody,20
ravenclaw,20
dog,20
bagman's,20
aside,20
clothes,19
carried,19
inches,19
joined,19
albus,19
case,19
call,19
pensieve,19
whistle,19
eggs,19
goblins,19
swept,19
clunk,19
skrewt,19
jus',19
glad,19
wondering,19
burning,19
skull,19
support,19
pull,19
screamed,19
nor,19
decided,19
wrote,19
lavender,19
patch,19
usually,19
doubt,19
thirty,19
hide,19
riddle,19
worst,19
badly,19
nine,19
poor,19
paper,19
fall,19
granger,19
headmaster,19
weasley's,19
weren't,19
bathroom,19
downstairs,19
sudden,19
wondered,19
shall,19
drawing,19
known,19
feast,19
socks,19
flames,19
hours,19
attack,19
thousand,19
faithful,19
scared,18
imperius,18
figure,18
thrown,18
kill,18
cried,18
wormtail's,18
ought,18
badges,18
happen,18
group,18
stomach,18
shadow,18
pay,18
wind,18
crookshanks,18
drop,18
settled,18
stepped,18
easy,18
center,18
reach,18
loads,18
servant,18
dressed,18
hot,18
hic,18
early,18
he'll,18
deeply,18
dream,18
charms,18
panic,18
older,18
double,18
forehead,18
eagerly,18
hiding,18
waving,18
grass,18
cut,18
opposite,18
footsteps,18
pressed,18
p,18
frowning,18
owlery,17
higher,17
lessons,17
curses,17
bellowed,17
change,17
tasks,17
coldly,17
shoulders,17
escaped,17
itself,17
song,17
hole,17
jump,17
galleons,17
krum's,17
note,17
color,17
swung,17
judge,17
believed,17
writing,17
beard,17
fellow,17
lifted,17
ship,17
today,17
colored,17
homework,17
headed,17
bell,17
leaned,17
twice,17
she'd,17
entirely,17
defense,17
thinks,17
divination,17
rules,17
plates,17
keeping,17
sharp,17
packed,17
spent,17
lunch,17
further,17
enter,17
potions,17
aware,16
vernon's,16
growing,16
bye,16
fighting,16
tomorrow,16
breathing,16
simply,16
firebolt,16
privet,16
suggested,16
cannot,16
leaning,16
true,16
compete,16
playing,16
yellow,16
wild,16
everybody,16
ollivander,16
checking,16
twelve,16
oddly,16
chairs,16
catch,16
weird,16
leading,16
prepared,16
knowing,16
allow,16
opening,16
teacher,16
fifty,16
gigantic,16
expect,16
tired,16
seventeen,16
plate,16
sick,16
soared,16
father's,16
firmly,16
fang,16
hurting,16
international,16
weasleys,16
stronger,16
lynch,16
classroom,16
flashed,16
ze,16
reading,16
teach,16
clearing,16
likely,16
form,16
fly,16
rang,16
fit,16
glaring,16
enclosure,16
seems,16
summoning,16
liked,16
die,16
eyebrows,16
question,16
hate,16
e,16
instantly,15
anger,15
avoid,15
anywhere,15
row,15
spun,15
therefore,15
train,15
beetle,15
ghost,15
wife,15
grabbed,15
colin,15
haired,15
imagine,15
happening,15
stick,15
clue,15
smell,15
lie,15
played,15
gleaming,15
powers,15
joke,15
indignantly,15
party,15
afraid,15
notice,15
history,15
yer,15
wave,15
weight,15
portrait,15
frightened,15
pansy,15
visit,15
pleased,15
huge,15
useful,15
immediately,15
bath,15
interest,15
picking,15
likes,15
portkey,15
beautiful,15
plenty,15
struck,15
shouldn't,15
fault,14
ugly,14
strode,14
seconds,14
passing,14
butterbeer,14
dennis,14
buy,14
c'mon,14
broomsticks,14
fresh,14
personal,14
broomstick,14
anxious,14
giants,14
cage,14
severus,14
normally,14
chamber,14
space,14
sped,14
knocked,14
position,14
dived,14
disbelief,14
deserted,14
emerging,14
excuse,14
landed,14
creature,14
dare,14
asleep,14
ensure,14
connected,14
breaking,14
months,14
keen,14
rise,14
thoughts,14
creevey,14
fully,14
tone,14
moran,14
ages,14
bedroom,14
pass,14
means,14
check,14
earth,14
report,14
contact,14
gets,14
everywhere,14
worth,14
removed,14
weeks,14
objects,14
appearance,14
nick,14
finding,14
upward,14
eight,14
auror,14
enjoying,14
sprout,14
wake,14
curiously,14
compartment,14
recognized,14
previous,14
slight,14
familiar,14
horror,14
harder,14
narrow,14
private,14
often,14
ear,14
glittering,14
keeps,14
headless,14
holidays,14
calmly,14
famous,14
entering,14
floating,13
stool,13
obviously,13
mentioned,13
corridors,13
cave,13
simple,13
trust,13
poster,13
struggled,13
kitchens,13
one's,13
soft,13
cruciatus,13
neither,13
thirteen,13
lately,13
grown,13
meeting,13
invisible,13
determined,13
panted,13
lived,13
whatever,13
stayed,13
persuade,13
slow,13
snitch,13
pajamas,13
slid,13
pushing,13
men,13
letters,13
touched,13
blankly,13
gryffindors,13
padma,13
sideways,13
lead,13
wear,13
underwater,13
cross,13
split,13
missed,13
drink,13
trembling,13
plank,13
slammed,13
shocked,13
potter's,13
ferret,13
sorting,13
welcome,13
write,13
cleared,13
anybody,13
surrounded,13
o',13
mustache,13
needs,13
rain,13
malfoy's,13
news,13
snarled,13
wanting,13
sleeping,13
kindly,13
evidence,13
notes,13
instructions,13
agreed,13
leapt,13
tickets,13
secret,13
love,13
admit,13
speed,13
pumpkin,13
broom,13
test,13
forgotten,13
grubbly,13
hanging,13
imagined,13
chicken,13
including,13
smooth,12
dozen,12
rock,12
bound,12
awake,12
spread,12
becoming,12
partners,12
pockets,12
man's,12
calling,12
rolling,12
sorts,12
scream,12
'ave,12
explain,12
troy,12
pus,12
pub,12
echoing,12
kicked,12
members,12
monday,12
breathlessly,12
live,12
applauding,12
list,12
lips,12
sister,12
bitterly,12
cool,12
copy,12
lowered,12
phoenix,12
complete,12
carry,12
abruptly,12
flask,12
barked,12
honor,12
slip,12
dudley's,12
sobbing,12
guess,12
moodys,12
expecting,12
among,12
terrible,12
mention,12
month,12
inch,12
relief,12
mostafa,12
don',12
whoever,12
headstone,12
perfectly,12
gotten,12
law,12
schools,12
distant,12
throw,12
figures,12
curtains,12
scrambled,12
lucky,12
offered,12
rubbish,12
bones,12
jar,12
angelina,12
searching,12
post,12
liquid,12
foreign,12
forget,12
impression,12
blank,12
sounds,12
ways,12
voldemorts,12
swam,12
karkaroff's,12
larger,12
bouncing,12
twins,12
follow,12
forcing,12
brain,12
gap,12
hi,12
ha,12
fork,12
won,12
fool,12
grin,12
suit,12
stuck,12
cakes,12
swimming,12
zooming,12
thread,12
contents,12
ignore,12
final,12
lucius,12
shock,12
shown,12
stars,12
protection,12
serious,12
halt,12
hedge,11
twisted,11
roar,11
buried,11
quills,11
winky's,11
gillyweed,11
born,11
moon,11
leprechauns,11
smaller,11
